"Protein-coding genes:"
  external_gene_name   gene_biotype
4                 RFX1 protein_coding
5               FAM20C protein_coding
6                 LRP6 protein_coding
7               BAHCC1 protein_coding
8                 PEX5 protein_coding
9                CRYL1 protein_coding
10               BACH1 protein_coding
11             SPATA13 protein_coding
12              TOLLIP protein_coding
13            KRTAP5-5 protein_coding
14             CACNA1I protein_coding
15               PCSK2 protein_coding
16             ANKRD10 protein_coding
17              SAMM50 protein_coding
18               GALR1 protein_coding
19             COL18A1 protein_coding
20             DEFB115 protein_coding
22               NALCN protein_coding
23                RALY protein_coding
24               RBM26 protein_coding
25             SLC17A9 protein_coding
26               SOX18 protein_coding
27                CDH4 protein_coding
28             CACNA1C protein_coding
29               PDE9A protein_coding
30               PEBP4 protein_coding
31              ADARB2 protein_coding
32              ERICH1 protein_coding
33             PHACTR3 protein_coding
34               MAK16 protein_coding
35               LPAR6 protein_coding
36                CDH2 protein_coding
37              ZNF595 protein_coding
38                LDB2 protein_coding
39               GPHB5 protein_coding
40               LOXL2 protein_coding
41               GPR78 protein_coding
42             TMEM204 protein_coding
43               RBM12 protein_coding
44              IFT140 protein_coding
45                PALM protein_coding
46                CLN5 protein_coding
47             PRTFDC1 protein_coding
48               FOXK1 protein_coding
49               MYO10 protein_coding
50            SERPINE3 protein_coding
51                BMP6 protein_coding
52              HS3ST4 protein_coding
53               PARVB protein_coding
54              ZC3H7B protein_coding
55              POLR3H protein_coding
56                ETV6 protein_coding
57              ZNF718 protein_coding
58               BIRC7 protein_coding
59               PLCB2 protein_coding
60                GNG7 protein_coding
61                 ZFR protein_coding
62                COMT protein_coding
63               SGSM2 protein_coding
64              CHRNA4 protein_coding
65              UMODL1 protein_coding
66              OSBPL3 protein_coding
67                ISL1 protein_coding
68               ADCY4 protein_coding
69                PEMT protein_coding
70                SLA2 protein_coding
71                KLF3 protein_coding
72               TMCO3 protein_coding
73               STAU2 protein_coding
74               TRPM2 protein_coding
75              ELOVL7 protein_coding
76               RRAS2 protein_coding
77            KIAA1143 protein_coding
78               KIF15 protein_coding
79                MYOF protein_coding
80             PPP2R2C protein_coding
81               PKHD1 protein_coding
82               TACR3 protein_coding
83               BANK1 protein_coding
84                TLL2 protein_coding
85                EDC3 protein_coding
86                GART protein_coding
87             ZNF780B protein_coding
88               PCIF1 protein_coding
89                XYLB protein_coding
90               ITGA2 protein_coding
91                MEI1 protein_coding
92              PRDM16 protein_coding
93            CCDC102A protein_coding
94                 TPO protein_coding
95          ZFP91-CNTF protein_coding
96               PEX14 protein_coding
97                STOM protein_coding
98               PLCH2 protein_coding
99               CPEB3 protein_coding
100            ZCCHC14 protein_coding
101              DOCK9 protein_coding
102              LAMA3 protein_coding
103               CNTF protein_coding
104               WNK4 protein_coding
105              LOXL1 protein_coding
106              WDR59 protein_coding
107              NTSR2 protein_coding
108             SLC2A6 protein_coding
109           BAIAP2L2 protein_coding
110            CCDC116 protein_coding
111              TTC32 protein_coding
112               CTTN protein_coding
113               BIN2 protein_coding
114              TAF1D protein_coding
115              PCID2 protein_coding
116             STARD4 protein_coding
117              CFDP1 protein_coding
118             CHRNA5 protein_coding
119              BLVRA protein_coding
120              ZFHX3 protein_coding
121                SON protein_coding
122             AMOTL1 protein_coding
123            KREMEN1 protein_coding
124               VTA1 protein_coding
125              PRKCA protein_coding
126              CPNE1 protein_coding
127             RHBDD3 protein_coding
128              THOC5 protein_coding
129              MCF2L protein_coding
130               RARG protein_coding
131              HYAL2 protein_coding
132            SLC24A3 protein_coding
133            IGF2BP1 protein_coding
134              TACC2 protein_coding
135               GDF7 protein_coding
136            SLC35E3 protein_coding
137             TRIM71 protein_coding
138               VASN protein_coding
139              UBE2C protein_coding
140             CHST11 protein_coding
141              CASZ1 protein_coding
142             DNALI1 protein_coding
143              GRIK3 protein_coding
144               RELT protein_coding
145               OGFR protein_coding
146             COL9A3 protein_coding
147              RUNX1 protein_coding
148           C1orf216 protein_coding
149             GALNT9 protein_coding
150              TCL1A protein_coding
151            ALDH1L2 protein_coding
152              RHPN2 protein_coding
153              QRFPR protein_coding
154              PDGFD protein_coding
156              ANXA4 protein_coding
157             NEURL4 protein_coding
158            SLC7A11 protein_coding
159             PRSS36 protein_coding
160               ELK3 protein_coding
161                TOX protein_coding
162             ADAM10 protein_coding
163              TUBA8 protein_coding
164            FAM91A1 protein_coding
165             ZSCAN2 protein_coding
166               SBK1 protein_coding
167               SHBG protein_coding
168              RASA3 protein_coding
170               ACO2 protein_coding
172             PCDHA1 protein_coding
173             PCDHA2 protein_coding
174             PCDHA3 protein_coding
175             PCDHA4 protein_coding
176             PCDHA5 protein_coding
177             PCDHA6 protein_coding
178              TMOD3 protein_coding
179              MAGOH protein_coding
180             CDKN2C protein_coding
181              NCOA2 protein_coding
182              MYO1C protein_coding
183               ELL3 protein_coding
184              TRAF1 protein_coding
185               SNW1 protein_coding
186                RB1 protein_coding
187            UBASH3B protein_coding
188               PLD4 protein_coding
189             SLURP1 protein_coding
191            KIRREL3 protein_coding
192               RILP protein_coding
193              YIPF5 protein_coding
194             GNPTAB protein_coding
195               SGCE protein_coding
196                AK5 protein_coding
197               JAK2 protein_coding
198           PPARGC1B protein_coding
199              NPY1R protein_coding
200               SCO2 protein_coding
201               TYMP protein_coding
202             PKNOX2 protein_coding
203           SLC25A42 protein_coding
204            KLHDC7B protein_coding
205            FAM117A protein_coding
206           MAPK8IP2 protein_coding
207              ULBP1 protein_coding
208               PENK protein_coding
209             ANAPC2 protein_coding
210              SSNA1 protein_coding
211             NEDD4L protein_coding
212            SLC34A3 protein_coding
213              PPM1F protein_coding
214                ALK protein_coding
215           SLC38A10 protein_coding
216              TUBE1 protein_coding
217               CLMN protein_coding
218             KCTD16 protein_coding
219               LTV1 protein_coding
220               PLD6 protein_coding
221               FLCN protein_coding
222           ARHGAP26 protein_coding
223              APOL2 protein_coding
224              MFSD9 protein_coding
225               INF2 protein_coding
226             PRDM12 protein_coding
227             DUSP15 protein_coding
228               SIM1 protein_coding
229             NUP153 protein_coding
230              FARS2 protein_coding
231             SH3RF3 protein_coding
233            RNF144B protein_coding
234            RAD21L1 protein_coding
235               GPX7 protein_coding
236              NXPH2 protein_coding
237                DDO protein_coding
238               RINL protein_coding
239           SERPINB1 protein_coding
240            ALOX12B protein_coding
241             HIVEP3 protein_coding
