"probe_id","chr","pos","UCSC_RefGene_Name","Relation_to_Island","array"
"cg23831155","chr17",39968362,"FKBP10;SC65;SC65","Island","450K"
"cg17870484","chr5",2515708,"","OpenSea","450K"
"cg20095851","chr12",6486701,"SCNN1A","OpenSea","450K"
"cg03107405","chr2",3381941,"TSSC1","N_Shore","450K"
"cg16057915","chr1",10690564,"PEX14","OpenSea","450K"
"cg02004851","chr5",140207460,"PCDHA2;PCDHA1;PCDHA1;PCDHA6;PCDHA5;PCDHA6;PCDHA3;PCDHA4;PCDHA6","N_Shore","450K"
"cg02696685","chr19",605018,"HCN2","S_Shore","450K"
"cg12246564","chr17",17140570,"FLCN;FLCN","Island","450K"
"cg05516505","chr22",29866624,"","Island","450K"
"cg13614229","chr12",131217218,"","OpenSea","450K"
"cg21824343","chr17",1633714,"WDR81;WDR81;WDR81;WDR81","N_Shelf","450K"
"cg07352054","chr7",157092682,"","Island","450K"
"cg14434408","chr18",72265231,"LOC400657","Island","450K"
"cg09813986","chr5",32445429,"ZFR","S_Shore","450K"
"cg08870587","chr11",70455278,"SHANK2;SHANK2","OpenSea","450K"
"cg20154618","chr19",4153677,"CREB3L3;CREB3L3","OpenSea","450K"
"cg08409113","chr17",40937365,"WNK4","Island","450K"
"cg08464177","chr8",143625597,"BAI1","N_Shore","450K"
"cg11661250","chr6",26021799,"HIST1H4A","N_Shore","450K"
"cg17090968","chr12",46663694,"SLC38A1;SLC38A1","S_Shore","450K"
"cg23120601","chr15",40583227,"PLCB2","Island","450K"
"cg05099121","chr7",91764089,"CYP51A1;CYP51A1","Island","450K"
"cg10531073","chr22",38485757,"BAIAP2L2","S_Shore","450K"
"cg12514963","chr7",2580905,"C7orf27","N_Shelf","450K"
"cg12361311","chr20",33680752,"TRPC4AP;TRPC4AP","Island","450K"
"cg27653384","chr22",22293118,"PPM1F","S_Shore","450K"
"cg14078235","chr6",169261355,"","Island","450K"
"cg09508356","chr5",1346092,"CLPTM1L","S_Shore","450K"
"cg19548862","chr14",67692701,"FAM71D","OpenSea","450K"
"cg12116137","chr17",1576449,"PRPF8","OpenSea","450K"
"cg06123807","chr7",2761760,"","S_Shelf","450K"
"cg08376310","chr11",2858621,"KCNQ1;KCNQ1","OpenSea","450K"
"cg24738655","chr2",242665334,"ING5","S_Shore","450K"
"cg18007837","chr17",6797466,"ALOX12P2","Island","450K"
"cg21368352","chr6",424126,"","Island","450K"
"cg19331221","chr15",90728027,"SEMA4B","Island","450K"
"cg25439973","chr20",1206758,"RAD21L1","Island","450K"
"cg12641240","chr8",638330,"ERICH1","S_Shore","450K"
"cg08617160","chr19",345312,"MIER2","Island","450K"
"cg07931411","chr19",15580721,"PGLYRP2","Island","450K"
"cg24429337","chr2",113676413,"IL1F7;IL1F7;IL1F7;IL1F7;IL1F7","OpenSea","450K"
"cg12055993","chr12",132862057,"GALNT9","N_Shore","450K"
"cg12253191","chr7",74021054,"","Island","450K"
"cg04571522","chr1",4468089,"","OpenSea","450K"
"cg12477533","chr2",98703450,"VWA3B","Island","450K"
"cg16998150","chr1",169396834,"C1orf114","Island","450K"
"cg14780466","chr2",20870812,"GDF7","Island","450K"
"cg00153934","chr6",80247286,"LCA5;LCA5","Island","450K"
"cg10008970","chr10",22605179,"COMMD3","Island","450K"
"cg25929664","chr7",220654,"FAM20C","S_Shore","450K"
"cg14880348","chr20",61447174,"COL9A3","N_Shore","450K"
"cg04661001","chr19",19217217,"SLC25A42","N_Shelf","450K"
"cg25534226","chr10",133956112,"JAKMIP3","S_Shore","450K"
"cg15058956","chr1",245081988,"","OpenSea","450K"
"cg26203136","chr7",739057,"PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B","OpenSea","450K"
"cg18548797","chr10",133777480,"","OpenSea","450K"
"cg24695071","chr7",2419958,"EIF3B;EIF3B","Island","450K"
"cg22365240","chr2",105374995,"","OpenSea","450K"
"cg05999287","chr7",116312265,"MET;MET","Island","450K"
"cg26476755","chr11",66743796,"C11orf86","OpenSea","450K"
"cg01369278","chr2",172967780,"DLX2","Island","450K"
"cg03833046","chr6",30411932,"","OpenSea","450K"
"cg03440556","chr10",102107757,"SCD","S_Shore","450K"
"cg22679813","chr7",154068736,"DPP6;DPP6;DPP6","OpenSea","450K"
"cg14741474","chr12",109027631,"SELPLG;SELPLG","OpenSea","450K"
"cg12198334","chr11",70692032,"SHANK2","OpenSea","450K"
"cg10276818","chr6",31671292,"BAT5","S_Shore","450K"
"cg07744547","chr8",2046498,"MYOM2","N_Shore","450K"
"cg10638439","chr6",31371271,"MICA","Island","450K"
"cg21331473","chr12",105478385,"ALDH1L2;ALDH1L2","Island","450K"
"cg21692846","chr11",134146075,"GLB1L3","Island","450K"
"cg04635735","chr7",44259819,"CAMK2B;CAMK2B;CAMK2B;CAMK2B;CAMK2B;CAMK2B;CAMK2B;CAMK2B","Island","450K"
"cg27661460","chr16",88844969,"FAM38A","Island","450K"
"cg06565975","chr8",143823917,"SLURP1","S_Shelf","450K"
"cg26314868","chr1",26233506,"STMN1;STMN1;STMN1;STMN1","Island","450K"
"cg26986681","chr4",58060609,"","N_Shore","450K"
"cg13891539","chr12",30322730,"","N_Shore","450K"
"cg25683535","chr6",144164400,"LTV1","Island","450K"
"cg21251385","chr20",52277050,"","Island","450K"
"cg13221899","chr13",103426862,"C13orf27","Island","450K"
"cg15151929","chr1",1896429,"KIAA1751","Island","450K"
"cg14709691","chr1",46632871,"","Island","450K"
"cg13250745","chr3",50263710,"","Island","450K"
"cg05635218","chr8",22022996,"BMP1;BMP1;BMP1","OpenSea","450K"
"cg13498289","chr6",7729042,"BMP6","Island","450K"
"cg01651570","chr14",104194141,"ZFYVE21","Island","450K"
"cg02518691","chr11",130297149,"ADAMTS8","N_Shore","450K"
"cg02231404","chr20",62679635,"SOX18","Island","450K"
"cg10474597","chr13",51917676,"SERPINE3","OpenSea","450K"
"cg02734891","chr5",104728427,"","OpenSea","450K"
"cg20003494","chr4",90757398,"SNCA;SNCA;SNCA;SNCA","N_Shore","450K"
"cg15491131","chr13",24914324,"","N_Shore","450K"
"cg19033444","chr22",45065754,"PRR5;PRR5","S_Shore","450K"
"cg11416095","chr1",31627721,"","N_Shore","450K"
"cg03234813","chr21",45811363,"TRPM2","Island","450K"
"cg02018277","chr15",65116255,"PIF1","Island","450K"
"cg09691340","chr17",42402882,"SLC25A39;SLC25A39","Island","450K"
"cg05181941","chr12",131171031,"","N_Shore","450K"
"cg16340422","chr17",17110120,"PLD6","Island","450K"
"cg07599786","chr1",201618654,"NAV1","Island","450K"
"cg24996930","chr14",77229233,"VASH1","S_Shore","450K"
"cg03128167","chr11",2176921,"INS-IGF2;INS-IGF2","Island","450K"
"cg11613559","chr10",121577971,"INPP5F;INPP5F","Island","450K"
"cg16111924","chr7",138348981,"SVOPL;SVOPL","Island","450K"
"cg12294361","chr2",67877000,"","OpenSea","450K"
"cg14944647","chr11",43602857,"MIR129-2","Island","450K"
"cg13808936","chr9",136371164,"","OpenSea","450K"
"cg06186727","chr7",152591343,"","Island","450K"
"cg02750954","chr17",40847780,"CNTNAP1","OpenSea","450K"
"cg17035899","chr4",675264,"MYL5","Island","450K"
"cg11652668","chr18",13136899,"","Island","450K"
"cg23014425","chr17",46648525,"HOXB3","OpenSea","450K"
"cg19828022","chr19",7587439,"MCOLN1","Island","450K"
"cg26861732","chr20",21372126,"","Island","450K"
"cg16917837","chr2",118771821,"CCDC93","Island","450K"
"cg02542704","chr16",25026899,"ARHGAP17;ARHGAP17","S_Shore","450K"
"cg10140190","chr6",31588707,"BAT2","Island","450K"
"cg02524941","chr6",33394326,"SYNGAP1","N_Shore","450K"
"cg23347301","chr19",28401100,"","S_Shore","450K"
"cg02687055","chr2",24232865,"MFSD2B","Island","450K"
"cg15043384","chr3",149374761,"WWTR1;WWTR1;WWTR1","Island","450K"
"cg21261158","chr13",114875412,"RASA3","Island","450K"
"cg26416159","chr17",7077300,"ASGR1","Island","450K"
"cg18877969","chr2",232395326,"NMUR1","Island","450K"
"cg09757588","chr2",1418028,"TPO;TPO;TPO;TPO","OpenSea","450K"
"cg10723962","chr6",26240782,"HIST1H4F","Island","450K"
"cg19973659","chr3",129612905,"TMCC1;TMCC1","S_Shore","450K"
"cg09965557","chr17",1381989,"MYO1C;MYO1C;MYO1C","Island","450K"
"cg24673768","chr3",67705048,"SUCLG2","Island","450K"
"cg06447614","chr16",1195491,"","N_Shelf","450K"
"cg00309462","chr1",1840482,"","Island","450K"
"cg18349022","chr7",99222459,"ZNF498","OpenSea","450K"
"cg08920252","chr16",85262820,"","OpenSea","450K"
"cg23635910","chr1",912055,"C1orf170","N_Shore","450K"
"cg04873098","chr1",3165191,"PRDM16;PRDM16","S_Shore","450K"
"cg22451356","chr1",6159517,"KCNAB2;KCNAB2","OpenSea","450K"
"cg26988138","chr19",2639424,"GNG7","N_Shelf","450K"
"cg05121790","chr1",12123554,"TNFRSF8;TNFRSF8","Island","450K"
"cg03497652","chr16",4751569,"ANKS3","OpenSea","450K"
"cg07315426","chr7",158281537,"PTPRN2;PTPRN2;PTPRN2","Island","450K"
"cg07126263","chr18",57364862,"CCBE1","Island","450K"
"cg16139202","chr5",134662788,"","Island","450K"
"cg08860070","chr5",140892822,"","N_Shore","450K"
"cg14067419","chr9",98783308,"NCRNA00092","Island","450K"
"cg11966583","chr1",166845478,"TADA1;TADA1","Island","450K"
"cg07021906","chr16",87866833,"SLC7A5","OpenSea","450K"
"cg26490671","chr7",157670732,"PTPRN2;PTPRN2;PTPRN2","S_Shore","450K"
"cg25011368","chr1",55317286,"DHCR24","OpenSea","450K"
"cg01495174","chr2",8825373,"","Island","450K"
"cg08036333","chr12",116382986,"","OpenSea","450K"
"cg14950134","chr2",3261155,"TSSC1","OpenSea","450K"
"cg22651787","chr4",25115729,"","OpenSea","450K"
"cg04546097","chr3",120401058,"HGD;HGD","OpenSea","450K"
"cg03513893","chr3",184052502,"EIF4G1;EIF4G1;EIF4G1;EIF4G1;FAM131A;EIF4G1","N_Shore","450K"
"cg04021497","chr1",24307291,"SFRS13A;SFRS13A","S_Shore","450K"
"cg06898549","chr12",41083590,"","N_Shelf","450K"
"cg01760756","chr7",63506261,"ZNF727","Island","450K"
"cg23117796","chr15",101389700,"","N_Shore","450K"
"cg03339609","chr19",34662636,"LSM14A;LSM14A","N_Shore","450K"
"cg06894612","chr14",69042922,"RAD51L1","OpenSea","450K"
"cg07226484","chr1",1972776,"","N_Shore","450K"
"cg08625564","chr17",1553453,"RILP","S_Shore","450K"
"cg22659356","chr2",169104591,"STK39","S_Shore","450K"
"cg12605080","chr3",37966887,"CTDSPL;CTDSPL","OpenSea","450K"
"cg24935409","chr7",157667762,"PTPRN2;PTPRN2;PTPRN2","S_Shore","450K"
"cg24451117","chr6",137094444,"MAP3K5","OpenSea","450K"
"cg08898775","chr15",59042684,"ADAM10","S_Shore","450K"
"cg23998071","chr7",27289669,"","N_Shore","450K"
"cg19905213","chr2",81122587,"","OpenSea","450K"
"cg14986464","chr6",31669902,"BAT5","N_Shore","450K"
"cg20625334","chr2",152991620,"STAM2","OpenSea","450K"
"cg09835543","chr9",93405134,"DIRAS2","Island","450K"
"cg14057041","chr11",116484323,"","OpenSea","450K"
"cg26856289","chr1",24307516,"SFRS13A;SFRS13A","S_Shore","450K"
"cg16834011","chr22",19931790,"COMT","S_Shelf","450K"
"cg23510764","chr5",166419955,"","OpenSea","450K"
"cg15705813","chr2",70297499,"","OpenSea","450K"
"cg20485607","chr1",120217696,"","OpenSea","450K"
"cg00083206","chr6",110721305,"DDO;DDO","Island","450K"
"cg23559053","chr17",37075016,"LASP1","Island","450K"
"cg13310971","chr7",137624019,"CREB3L2","OpenSea","450K"
"cg11290998","chr12",104449753,"","OpenSea","450K"
"cg15221739","chr5",90236557,"GPR98;GPR98","OpenSea","450K"
"cg02795334","chr10",119659156,"","OpenSea","450K"
"cg17312632","chr4",6227099,"","S_Shelf","450K"
"cg18687085","chr18",56067462,"NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L;NEDD4L","OpenSea","450K"
"cg02058483","chr11",35442918,"","S_Shore","450K"
"cg00250430","chr9",1051579,"DMRT2;DMRT2;DMRT2","N_Shore","450K"
"cg07714319","chr2",16822974,"FAM49A","OpenSea","450K"
"cg22345519","chr18",76766747,"","Island","450K"
"cg25661884","chr19",10124267,"RDH8","S_Shelf","450K"
"cg24751538","chr10",70167018,"RUFY2;RUFY2;RUFY2","Island","450K"
"cg11927233","chr5",170816542,"NPM1;NPM1;NPM1","S_Shore","450K"
"cg05363081","chr10",133508442,"","Island","450K"
"cg00237825","chr20",29844575,"DEFB115","OpenSea","450K"
"cg15537269","chr8",24507197,"","OpenSea","450K"
"cg18147098","chr1",212688916,"","S_Shore","450K"
"cg20668221","chr2",67921775,"","OpenSea","450K"
"cg22850925","chr4",146743669,"ZNF827","OpenSea","450K"
"cg09249494","chr6",6588846,"LY86;LOC285780","OpenSea","450K"
"cg10236261","chr12",110573183,"IFT81;IFT81;IFT81","OpenSea","450K"
"cg12678695","chr7",71248649,"CALN1;CALN1","OpenSea","450K"
"cg27526518","chr12",3709926,"","OpenSea","450K"
"cg00369376","chr2",182542510,"NEUROD1","OpenSea","450K"
"cg11374227","chr8",1010092,"","OpenSea","450K"
"cg05864010","chr11",85376948,"CREBZF;CREBZF;CREBZF;CREBZF;CREBZF","S_Shore","450K"
"cg19090437","chr4",38080799,"TBC1D1","OpenSea","450K"
"cg08995061","chr2",174129462,"ZAK","OpenSea","450K"
"cg11596239","chr1",2350059,"","S_Shelf","450K"
"cg12185873","chr14",106355821,"","OpenSea","450K"
"cg05955210","chr5",38846698,"OSMR;OSMR","S_Shore","450K"
"cg11363234","chr8",102500879,"","N_Shelf","450K"
"cg00883689","chr2",54802904,"SPTBN1;SPTBN1","OpenSea","450K"
"cg05339727","chr2",165812079,"SLC38A11","OpenSea","450K"
"cg14685849","chr4",696084,"","N_Shelf","450K"
"cg08874888","chr5",52386488,"ITGA2","OpenSea","450K"
"cg07002832","chr4",140003444,"ELF2;ELF2","N_Shore","450K"
"cg22197830","chr5",134209784,"TXNDC15;TXNDC15","N_Shore","450K"
"cg13110283","chr1",233751191,"KCNK1","S_Shore","450K"
"cg22370920","chr12",117562500,"","OpenSea","450K"
"cg03037620","chr10",79699612,"","OpenSea","450K"
"cg16163535","chr5",1107098,"SLC12A7","N_Shore","450K"
"cg25381253","chr5",77178418,"","OpenSea","450K"
"cg06181187","chr2",209010896,"CRYGB","OpenSea","450K"
"cg27227797","chr19",375831,"THEG;THEG","Island","450K"
"cg23574427","chr4",122746245,"BBS7;CCNA2","S_Shore","450K"
"cg10084554","chr10",127991159,"ADAM12;ADAM12","OpenSea","450K"
"cg01965462","chr2",213400697,"ERBB4;ERBB4","N_Shore","450K"
"cg20589883","chr4",111115135,"ELOVL6;ELOVL6","N_Shelf","450K"
"cg06781608","chr7",157361040,"PTPRN2;PTPRN2;PTPRN2","N_Shore","450K"
"cg02462396","chr16",1676214,"CRAMP1L","Island","450K"
"cg27656459","chr12",116796562,"","OpenSea","450K"
"cg16700555","chr19",29700860,"UQCRFS1","N_Shelf","450K"
"cg23873448","chr20",44441177,"UBE2C;UBE2C;UBE2C;UBE2C;UBE2C;UBE2C","Island","450K"
"cg11007110","chr10",134796269,"","OpenSea","450K"
"cg21668832","chr6",25278956,"LRRC16A","N_Shore","450K"
"cg03517837","chr3",193106359,"","OpenSea","450K"
"cg13162690","chr6",99049704,"","OpenSea","450K"
"cg18483487","chr3",45208900,"","OpenSea","450K"
"cg04685570","chr12",114841202,"TBX5;TBX5;TBX5;TBX5","N_Shore","450K"
"cg11237406","chr17",4649333,"ZMYND15;ZMYND15","OpenSea","450K"
"cg20522675","chr1",3540077,"TPRG1L","N_Shore","450K"
"cg05131488","chr7",14031822,"ETV1;ETV1","S_Shore","450K"
"cg22629375","chr19",54598010,"OSCAR;OSCAR;OSCAR;OSCAR","N_Shore","450K"
"cg06808585","chr1",160051087,"KCNJ9","N_Shelf","450K"
"cg12754982","chr6",160409942,"IGF2R","OpenSea","450K"
"cg18817318","chr13",77565875,"CLN5","N_Shore","450K"
"cg10680180","chr9",5111038,"JAK2","Island","450K"
"cg03019986","chr17",46628850,"HOXB3","N_Shore","450K"
"cg09981830","chr7",55376098,"","OpenSea","450K"
"cg11868634","chr7",155797461,"","OpenSea","450K"
"cg04654118","chr5",172115367,"NEURL1B","S_Shore","450K"
"cg10589848","chr17",37559351,"FBXL20","S_Shore","450K"
"cg24389034","chr6",169977608,"WDR27","Island","450K"
"cg04450003","chr12",50355995,"AQP5","Island","450K"
"cg03392571","chr21",46367939,"C21orf70","N_Shore","450K"
"cg04803944","chr8",27450844,"","S_Shore","450K"
"cg08930413","chr7",151548036,"PRKAG2","OpenSea","450K"
"cg13139542","chr2",8242815,"","OpenSea","450K"
"cg22796265","chr7",24963055,"OSBPL3;OSBPL3;OSBPL3;OSBPL3","OpenSea","450K"
