,Raw Sites,Unique sites,Chromosome,Base Pair,Gene
,cg23831155,cg23831155,,,
,cg17870484,cg17870484,,,
,cg20095851,cg20095851,,,
,cg03107405,cg03107405,,,
,cg16057915,cg16057915,,,
,cg02004851,cg02004851,,,
,cg02696685,cg02696685,,,
,cg12246564,cg12246564,,,
,cg05516505,cg05516505,,,
,cg13614229,cg13614229,,,
,cg21824343,cg21824343,,,
,cg07352054,cg07352054,,,
,cg14434408,cg14434408,,,
,cg09813986,cg09813986,,,
,cg08870587,cg08870587,,,
,cg20154618,cg20154618,,,
,cg08409113,cg08409113,,,
,cg08464177,cg08464177,,,
,cg11661250,cg11661250,,,
,cg17090968,cg17090968,,,
,cg23120601,cg23120601,,,
,cg05099121,cg05099121,,,
,cg10531073,cg10531073,,,
,cg12514963,cg12514963,,,
,cg12361311,cg12361311,,,
,cg27653384,cg27653384,,,
,cg14078235,cg14078235,,,
,cg09508356,cg09508356,,,
,cg19548862,cg19548862,,,
,cg12116137,cg12116137,,,
,cg06123807,cg06123807,,,
,cg08376310,cg08376310,,,
,cg24738655,cg24738655,,,
,cg18007837,cg18007837,,,
,cg21368352,cg21368352,,,
,cg19331221,cg19331221,,,
,cg25439973,cg25439973,,,
,cg12641240,cg12641240,,,
,cg08617160,cg08617160,,,
,cg07931411,cg07931411,,,
,cg24429337,cg24429337,,,
,cg12055993,cg12055993,,,
,cg12253191,cg12253191,,,
,cg04571522,cg04571522,,,
,cg12477533,cg12477533,,,
,cg16998150,cg16998150,,,
,cg14780466,cg14780466,,,
,cg00153934,cg00153934,,,
,cg10008970,cg10008970,,,
,cg25929664,cg25929664,,,
,cg14880348,cg14880348,,,
,cg04661001,cg04661001,,,
,cg25534226,cg25534226,,,
,cg15058956,cg15058956,,,
,cg26203136,cg26203136,,,
,cg18548797,cg18548797,,,
,cg24695071,cg24695071,,,
,cg22365240,cg22365240,,,
,cg05999287,cg05999287,,,
,cg26476755,cg26476755,,,
,cg01369278,cg01369278,,,
,cg03833046,cg03833046,,,
,cg03440556,cg03440556,,,
,cg22679813,cg22679813,,,
,cg14741474,cg14741474,,,
,cg12198334,cg12198334,,,
,cg10276818,cg10276818,,,
,cg07744547,cg07744547,,,
,cg10638439,cg10638439,,,
,cg21331473,cg21331473,,,
,cg21692846,cg21692846,,,
,cg04635735,cg04635735,,,
,cg27661460,cg27661460,,,
,cg06565975,cg06565975,,,
,cg26314868,cg26314868,,,
,cg26986681,cg26986681,,,
,cg13891539,cg13891539,,,
,cg25683535,cg25683535,,,
,cg21251385,cg21251385,,,
